status_id,status_name,year,month,gini,hhi,n_munis,total_cases
0,total,2015,1,0.9509261392534376,0.012465793604491876,2478,1114
0,total,2015,2,0.9450003359916415,0.010662112112874282,2478,1117
0,total,2015,3,0.9529162471675141,0.013087351353904656,2478,1164
0,total,2015,4,0.9500644633816548,0.01450669658991949,2478,1078
0,total,2015,5,0.9522389314730912,0.015262177136546654,2478,1219
0,total,2015,6,0.954556101083248,0.015834645911418917,2478,1082
0,total,2015,7,0.9556482983528269,0.016491839454386238,2478,1109
0,total,2015,8,0.9583445430903059,0.017932564579030398,2478,1179
0,total,2015,9,0.9514841339203419,0.014330230534144964,2478,1183
0,total,2015,10,0.9511891624593587,0.017147388106499146,2478,1198
0,total,2015,11,0.9524978500984991,0.014757335487750628,2478,1191
0,total,2015,12,0.9546263060572906,0.018321407638173685,2478,883
0,total,2016,1,0.9515823492734379,0.013309732151665508,2478,1187
0,total,2016,2,0.9535353130213711,0.012521197407436404,2478,1147
0,total,2016,3,0.949820811735069,0.011888307421493957,2478,1122
0,total,2016,4,0.9523029070918423,0.01580979787191962,2478,1272
0,total,2016,5,0.9508425805154632,0.01416981952799127,2478,1357
0,total,2016,6,0.9488976381513059,0.01642421674552174,2478,1428
0,total,2016,7,0.9482206177121433,0.014682475268060853,2478,1332
0,total,2016,8,0.9463637149775166,0.013004142772811603,2478,1232
0,total,2016,9,0.9465941331754375,0.010859442039625484,2478,1145
0,total,2016,10,0.9435318913642736,0.009796329497852186,2478,1194
0,total,2016,11,0.9489597014614215,0.011116065957707548,2478,1084
0,total,2016,12,0.9487700746158028,0.011566513952519784,2478,1225
0,total,2017,1,0.9535302745900838,0.018692229023844827,2478,1566
0,total,2017,2,0.9529557585746165,0.01577493742595077,2478,1428
0,total,2017,3,0.9470251138781169,0.012732263072521077,2478,1516
0,total,2017,4,0.9512601712131108,0.013756026201855086,2478,1383
0,total,2017,5,0.9505091823884533,0.01500131297651033,2478,1642
0,total,2017,6,0.9501855514276267,0.015333540521466633,2478,1572
0,total,2017,7,0.9479237634645916,0.013064327832349416,2478,1514
0,total,2017,8,0.9424426570182463,0.011691431846163051,2478,1491
0,total,2017,9,0.9463953385734214,0.01438717792676593,2478,1527
0,total,2017,10,0.950697874630078,0.013971555555555557,2478,1500
0,total,2017,11,0.9488626063202334,0.01340473372781065,2478,1300
0,total,2017,12,0.9463270353407174,0.011957871647231496,2478,1245
0,total,2018,1,0.9421342478673533,0.012111230242641744,2478,1477
0,total,2018,2,0.9442633019174314,0.0123234375468467,2478,1506
0,total,2018,3,0.9424364910537972,0.01371200241858669,2478,1482
0,total,2018,4,0.9538639413340464,0.016172513079152396,2478,1304
0,total,2018,5,0.9553459769817814,0.019521029368928966,2478,1405
0,total,2018,6,0.9480350385068663,0.018768398232595813,2478,1369
0,total,2018,7,0.9548785284434962,0.019603483921913252,2478,1381
0,total,2018,8,0.953492754331366,0.016740687148330075,2478,1437
0,total,2018,9,0.9466616955855125,0.016081704002586173,2478,1445
0,total,2018,10,0.9492519517180358,0.015288613671658331,2478,1433
0,total,2018,11,0.9534453295611187,0.01693380998348697,2478,1407
0,total,2018,12,0.9486114037481335,0.014348770149022897,2478,1402
0,total,2019,1,0.9492527875881003,0.01394185475182676,2478,1884
0,total,2019,2,0.9505282550213181,0.014350688973908964,2478,1819
0,total,2019,3,0.9483511756246852,0.013552011131438581,2478,1970
0,total,2019,4,0.9508107228046752,0.013602025725397272,2478,1973
0,total,2019,5,0.9426371361197257,0.011598609389267923,2478,2094
0,total,2019,6,0.9459994379107577,0.011995376275510203,2478,2240
0,total,2019,7,0.9446303664977356,0.01188592068749081,2478,2117
0,total,2019,8,0.9430431799838581,0.0132065,2478,2000
0,total,2019,9,0.9465649913847891,0.012756296979681371,2478,1891
0,total,2019,10,0.9494495454388054,0.014094478754806173,2478,1818
0,total,2019,11,0.9380691897993296,0.009892575964993036,2478,2045
0,total,2019,12,0.9388332814330413,0.009740632814598962,2478,1905
0,total,2020,1,0.9326363629098988,0.008343858688299073,2478,2222
0,total,2020,2,0.9323441294731507,0.00917045881088641,2478,2205
0,total,2020,3,0.9284078841170724,0.009221683594952292,2478,2280
0,total,2020,4,0.9268068090101989,0.008292871900826445,2478,1760
0,total,2020,5,0.9220589902345269,0.008015106531875994,2478,1901
0,total,2020,6,0.9236424114142558,0.008046918779944918,2478,1971
